Time, cpu%
2023-05-01 23:32:07,13.31
2023-05-01 23:32:09,11.42
2023-05-01 23:32:11,11.9
2023-05-01 23:32:13,16.21
2023-05-01 23:32:15,11.94
2023-05-01 23:32:17,11.56
2023-05-01 23:32:19,10.89
2023-05-01 23:32:21,11.37
2023-05-01 23:32:23,11.47
2023-05-01 23:32:25,10.17
2023-05-01 23:32:27,11.21
2023-05-01 23:32:29,10.87
2023-05-01 23:32:31,10.58
2023-05-01 23:32:33,9.91
2023-05-01 23:32:35,10.61
2023-05-01 23:32:37,11.36
2023-05-01 23:32:39,10.06
2023-05-01 23:32:41,11.08
2023-05-01 23:32:43,8.9
2023-05-01 23:32:45,10.91
2023-05-01 23:32:47,10.23
2023-05-01 23:32:49,9.51
2023-05-01 23:32:51,10.73
2023-05-01 23:32:53,10.28
2023-05-01 23:32:55,11.44
2023-05-01 23:32:57,11.52
2023-05-01 23:32:59,10.04
2023-05-01 23:33:01,11.19
2023-05-01 23:33:03,10.74
2023-05-01 23:33:05,9.91
2023-05-01 23:33:07,10.94
2023-05-01 23:33:10,11.11
2023-05-01 23:33:12,11.42
2023-05-01 23:33:14,11.24
2023-05-01 23:33:16,11
2023-05-01 23:33:18,11.36
2023-05-01 23:33:20,11.63
2023-05-01 23:33:22,11.49
2023-05-01 23:33:24,11.53
2023-05-01 23:33:26,10.61
2023-05-01 23:33:28,11.41
2023-05-01 23:33:30,10.01
2023-05-01 23:33:32,12.9
2023-05-01 23:33:34,11.15
2023-05-01 23:33:36,11.27
2023-05-01 23:33:38,11.81
2023-05-01 23:33:40,10.64
2023-05-01 23:33:42,11.79
2023-05-01 23:33:44,11.06
2023-05-01 23:33:46,11.33
2023-05-01 23:33:48,11.4
2023-05-01 23:33:50,11.44
2023-05-01 23:33:52,11.4
2023-05-01 23:33:54,12.35
2023-05-01 23:33:56,10.73
2023-05-01 23:33:58,11.55
2023-05-01 23:34:00,11.4
2023-05-01 23:34:02,11.04
2023-05-01 23:34:04,9.84
2023-05-01 23:34:06,10.28
2023-05-01 23:34:08,10.94
2023-05-01 23:34:10,10.7
2023-05-01 23:34:12,10.78
2023-05-01 23:34:14,11.67
2023-05-01 23:34:16,10.65
2023-05-01 23:34:18,10.14
2023-05-01 23:34:20,10.09
2023-05-01 23:34:22,11.27
2023-05-01 23:34:24,10.82
2023-05-01 23:34:26,10.64
2023-05-01 23:34:28,11.52
2023-05-01 23:34:30,10.97
2023-05-01 23:34:32,11.09
2023-05-01 23:34:34,12.14
2023-05-01 23:34:36,12.12
2023-05-01 23:34:38,12.85
2023-05-01 23:34:40,9.8
2023-05-01 23:34:42,11.78
2023-05-01 23:34:44,11.22
2023-05-01 23:34:46,11.42
2023-05-01 23:34:48,11.03
2023-05-01 23:34:50,11.66
2023-05-01 23:34:52,11.45
2023-05-01 23:34:54,10.82
2023-05-01 23:34:56,10.09
2023-05-01 23:34:58,10.05
2023-05-01 23:35:00,11.65
2023-05-01 23:35:02,11.19
2023-05-01 23:35:04,10.97
2023-05-01 23:35:06,11.32
2023-05-01 23:35:08,11.17
2023-05-01 23:35:10,10.69
2023-05-01 23:35:12,11.08
2023-05-01 23:35:14,10.73
2023-05-01 23:35:16,10.8
2023-05-01 23:35:18,10.41
2023-05-01 23:35:20,10.84
2023-05-01 23:35:23,9.58
2023-05-01 23:35:25,10.04
2023-05-01 23:35:27,11.49
2023-05-01 23:35:29,10.73
2023-05-01 23:35:31,11.2
2023-05-01 23:35:33,10.73
2023-05-01 23:35:35,11.88
2023-05-01 23:35:37,11.97
2023-05-01 23:35:39,11.4
2023-05-01 23:35:41,11.65
2023-05-01 23:35:43,11.17
2023-05-01 23:35:45,10.88
2023-05-01 23:35:47,12.71
2023-05-01 23:35:49,11.17
2023-05-01 23:35:51,11.53
2023-05-01 23:35:53,10.68
2023-05-01 23:35:55,11.85
2023-05-01 23:35:57,11.28
2023-05-01 23:35:59,10.79
2023-05-01 23:36:01,10.03
2023-05-01 23:36:03,9.7
2023-05-01 23:36:05,11.23
2023-05-01 23:36:07,11.4
2023-05-01 23:36:09,10.79
2023-05-01 23:36:11,11.31
2023-05-01 23:36:13,11.16
2023-05-01 23:36:15,10.4
2023-05-01 23:36:17,13.94
2023-05-01 23:36:19,8.79
2023-05-01 23:36:21,4.5
2023-05-01 23:36:23,4.38
2023-05-01 23:36:25,4.26
