Timestamp,CPU Usage (%),Disk Usage (%)
1680145579,18.8%,3%
1680145580,14.45%,3%
1680145580,12.21%,3%
1680145581,13.55%,3%
1680145581,12.73%,3%
1680145582,12.92%,3%
1680145582,14.94%,3%
1680145583,14.42%,3%
1680145583,19.32%,3%
1680145584,17.13%,3%
1680145584,23.57%,3%
1680145585,16.69%,3%
1680145586,24.55%,3%
1680145586,14.21%,3%
1680145587,15.57%,3%
1680145587,14.91%,3%
1680145588,16.93%,3%
1680145588,14.46%,3%
1680145589,14.11%,3%
1680145589,17.2%,3%
1680145590,16%,3%
1680145590,16.36%,3%
1680145591,14.74%,3%
1680145591,14.67%,3%
1680145592,13.37%,3%
1680145592,15.09%,3%
1680145593,20.03%,3%
1680145594,15.24%,3%
1680145594,14.96%,3%
1680145595,13.33%,3%
